DATE: Tue Nov 15 05:49:03 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /
DATE: Tue Nov 15 05:49:23 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /orario.png
DATE: Tue Nov 15 05:49:34 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /zip
DATE: Tue Nov 15 05:49:59 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 404 FILE NOT FOUND; RESOURCE: /not_found.html
DATE: Tue Nov 15 05:49:59 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 404 FILE NOT FOUND; RESOURCE: /not_found.html
DATE: Tue Nov 15 05:50:14 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /
DATE: Tue Nov 15 05:50:26 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 501 NOT IMPLEMENTED ERROR; RESOURCE: /
DATE: Tue Nov 15 05:50:41 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 400 BAD REQUEST
DATE: Tue Nov 15 05:50:55 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /style/logStyle.css
DATE: Tue Nov 15 05:50:55 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /log.html
DATE: Tue Nov 15 05:51:07 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /log.html
DATE: Tue Nov 15 05:51:07 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /style/logStyle.css
DATE: Tue Nov 15 06:19:23 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /log.html
DATE: Tue Nov 15 06:19:23 CET 2016; IP: /0:0:0:0:0:0:0:1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /style/logStyle.css
DATE: Mon Apr 01 18:52:35 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /
DATE: Mon Apr 01 18:52:35 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 404 FILE NOT FOUND; RESOURCE: /favicon.ico
DATE: Mon Apr 01 18:52:50 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /
DATE: Mon Apr 01 18:52:51 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 404 FILE NOT FOUND; RESOURCE: /pippo
DATE: Mon Apr 01 18:52:54 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 200 OK; RESOURCE: /
DATE: Mon Apr 01 18:52:54 CEST 2024; IP: /127.0.0.1; RESPONSE: HTTP/1.1 404 FILE NOT FOUND; RESOURCE: /favicon.ico
DATE: Mon Apr 01 18:53:37 CEST 2024; IP: /0:0:0:0:0:0:7f00:1; RESPONSE: HTTP/1.1 400 BAD REQUEST
